Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Year,Career,WAR,,Single-Season,WAR,,Active,WAR,,Yearly,WAR
1871,George Zettlein,4.5,,George Zettlein,4.5,,George Zettlein,4.5,,George Zettlein,4.5
1872,Al Spalding+,16.1,,Al Spalding+,12.5,,Al Spalding+,16.1,,Al Spalding+,12.5
1873,Al Spalding+,25.2,,Al Spalding+,12.5,,Al Spalding+,25.2,,Bobby Mathews,9.6
1874,Al Spalding+,35.9,,Bobby Mathews,13.7,,Al Spalding+,35.9,,Bobby Mathews,13.7
1875,Al Spalding+,50.1,,Al Spalding+,14.2,,Al Spalding+,50.1,,Al Spalding+,14.2
,,,,,,,,,,,
1876,Al Spalding+,60.2,,Jim Devlin,18.3,,Al Spalding+,60.2,,Jim Devlin,18.3
1877,Al Spalding+,60.4,,Jim Devlin,18.3,,Al Spalding+,60.4,,Jim Devlin,13.4
1878,Al Spalding+,60.3,,Jim Devlin,18.3,,Al Spalding+,60.3,,Tommy Bond,13.4
1879,Tommy Bond,61.8,,Jim Devlin,18.3,,Tommy Bond,61.8,,Tommy Bond,14.3
1880,Tommy Bond,62.7,,Jim Devlin,18.3,,Tommy Bond,62.7,,Jim McCormick,10.8
1881,Tommy Bond,62.7,,Jim Devlin,18.3,,Tommy Bond,62.7,,Jim Whitney,8.7
1882,Tommy Bond,62.0,,Jim Devlin,18.3,,Tommy Bond,62.0,,Will White,11.3
1883,Tommy Bond,62.0,,Tim Keefe+,20.2,,Jim McCormick,48.8,,Tim Keefe+,20.2
1884,Jim McCormick,63.6,,Tim Keefe+,20.2,,Jim McCormick,63.6,,Old Hoss Radbourn+,19.4
1885,Jim McCormick,66.2,,Tim Keefe+,20.2,,Jim McCormick,66.2,,John Clarkson+,12.8
1886,Jim McCormick,73.4,,Tim Keefe+,20.2,,Jim McCormick,73.4,,Toad Ramsey,12.5
1887,Jim McCormick,76.2,,Tim Keefe+,20.2,,Jim McCormick,76.2,,John Clarkson+,15.0
1888,Jim McCormick,76.2,,Tim Keefe+,20.2,,Tim Keefe+,74.3,,Silver King,16.0
1889,Tim Keefe+,77.7,,Tim Keefe+,20.2,,Tim Keefe+,77.7,,John Clarkson+,16.2
