Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
1,CJ Abrams*,22,614,WSN,-5,-0.5,670,-1,11.4,-12.4,1.08,0,-0.9,-0.20%,1.70%,-1.90%,0.26,-0.40%,-3.6,-0.4,0.97,1.4,2.19,1,abramcj01
2,José Abreu,36,594,HOU,-10.3,-1,602,-1.2,10.2,-11.4,1.03,-1.1,-0.1,-0.60%,11.00%,-11.60%,1.75,0.30%,-2.1,-0.2,1,-11.7,,0,abreujo02
3,Wilyer Abreu*,24,85,BOS,3.6,0.4,89,-0.1,1.4,-1.5,1.06,0.2,-0.3,-0.10%,0.20%,-0.20%,0.24,-0.30%,4.8,0.5,0.95,4.4,1.8,6,abreuwi02
4,Ronald Acuña Jr.,25,735,ATL,63.5,6,843,6.8,17,-10.2,0.93,6.2,1.2,2.50%,7.00%,-4.50%,0.66,0.30%,73.5,6.9,0.95,73.4,,0,acunaro01
5,Willy Adames,27,638,MIL,-3,-0.3,651,-0.7,10.7,-11.4,0.99,-0.4,-0.4,-0.60%,6.40%,-7.00%,1,-0.50%,-7.1,-0.7,0.93,-5.6,,0,adamewi01
6,Jordyn Adams,23,40,LAA,-7.1,-0.7,45,-0.5,0.4,-0.9,1.01,-0.5,0.1,0.00%,0.00%,0.00%,0.05,-0.20%,-6.1,-0.6,0.85,-6.6,0.01,2,adamsjo03
7,Riley Adams,27,158,WSN,4.2,0.4,159,0.1,2.4,-2.3,0.84,-0.1,0.3,0.00%,0.30%,-0.30%,0.16,0.30%,2.1,0.2,0.93,1.5,1.48,3,adamsri03
8,Jo Adell,24,62,LAA,-1.4,-0.1,63,0.1,0.9,-0.9,0.75,-0.2,0.3,0.00%,0.10%,-0.10%,0.19,-0.10%,-0.1,0,0.87,-2.4,,1,adelljo01
9,Ehire Adrianza#,33,11,ATL,-2.5,-0.3,11,-0.2,0,-0.2,0.94,-0.2,0,-0.20%,0.00%,-0.20%,1.19,0.00%,-2.2,-0.2,0.88,-2.8,1.14,3,adriaeh01
10,Jesús Aguilar,33,115,OAK,-1.7,-0.2,115,-0.7,1.6,-2.3,0.99,-0.2,-0.4,0.00%,0.50%,-0.60%,0.42,-0.10%,-7.3,-0.7,0.94,-3.6,1.41,6,aguilje01
11,Nick Ahmed,33,210,ARI,-13.4,-1.3,221,-1.6,2.5,-4.1,0.91,-1.4,-0.3,-1.10%,1.70%,-2.80%,1.05,-0.20%,-12.1,-1.2,0.91,-15,1.44,9,ahmedni01
12,Hanser Alberto,30,90,CHW,-3,-0.3,90,-1.1,0.8,-2,1.08,-0.7,-0.3,-0.30%,0.30%,-0.60%,0.55,-0.10%,-4,-0.4,1.02,-5.4,0.37,2,alberha01
13,Ozzie Albies#,26,660,ATL,19.1,1.8,682,2.1,13.2,-11,0.96,1.4,0.8,0.40%,5.60%,-5.20%,0.71,-0.10%,19.1,1.8,0.95,16.7,,0,albieoz01
